Metric,Value,Scenario
After-cost Sharpe,240.8533922337714,After-Cost (Ideal)
Spread Capture (bps),-0.0001583842004535114,After-Cost (Ideal)
Selection Loss 10ms (bps),-0.27164666257897935,After-Cost (Ideal)
Selection Loss 50ms (bps),-6.55554603894667,After-Cost (Ideal)
Selection Loss 250ms (bps),-27.420002638990493,After-Cost (Ideal)
Hedge Slippage / Carry (bps),1.1421974240825987,After-Cost (Ideal)
Fill Rate (% of quotes),68.6766016309111,After-Cost (Ideal)
Inventory Breaches (#),863813.0,After-Cost (Ideal)
Worst Day PnL,1332.5969905000009,After-Cost (Ideal)
Max Drawdown,-2712.6358764991496,After-Cost (Ideal)
Hit Ratio,0.9995405044728475,After-Cost (Ideal)
After-cost Sharpe,153.4348964993988,Fill-Aware (Realized)
Spread Capture (bps),-0.0001583842004535114,Fill-Aware (Realized)
Selection Loss 10ms (bps),-0.27164666257897935,Fill-Aware (Realized)
Selection Loss 50ms (bps),-6.55554603894667,Fill-Aware (Realized)
Selection Loss 250ms (bps),-27.420002638990493,Fill-Aware (Realized)
Hedge Slippage / Carry (bps),1.1421974240825987,Fill-Aware (Realized)
Fill Rate (% of quotes),68.6766016309111,Fill-Aware (Realized)
Inventory Breaches (#),863813.0,Fill-Aware (Realized)
Worst Day PnL,1305.3249525000008,Fill-Aware (Realized)
Max Drawdown,-29271.943992495537,Fill-Aware (Realized)
Hit Ratio,0.9577507173107127,Fill-Aware (Realized)
