Metric,Value,Scenario
After-cost Sharpe,153.4348964993988,Fill-Aware (Baseline)
Spread Capture (bps),-0.0001583842004535114,Fill-Aware (Baseline)
Selection Loss 10ms (bps),-0.27164666257897935,Fill-Aware (Baseline)
Selection Loss 50ms (bps),-6.55554603894667,Fill-Aware (Baseline)
Selection Loss 250ms (bps),-27.420002638990493,Fill-Aware (Baseline)
Hedge Slippage / Carry (bps),1.1421974240825987,Fill-Aware (Baseline)
Fill Rate (% of quotes),68.6766016309111,Fill-Aware (Baseline)
Inventory Breaches (#),863813.0,Fill-Aware (Baseline)
Worst Day PnL,1305.3249525000008,Fill-Aware (Baseline)
Max Drawdown,-29271.943992495537,Fill-Aware (Baseline)
Hit Ratio,0.9577507173107127,Fill-Aware (Baseline)
After-cost Sharpe,153.43488465810367,Flow-Filtered (Improved)
Spread Capture (bps),-0.0001802320423347822,Flow-Filtered (Improved)
Selection Loss 10ms (bps),-0.3091181610908683,Flow-Filtered (Improved)
Selection Loss 50ms (bps),-3.4748884819936254,Flow-Filtered (Improved)
Selection Loss 250ms (bps),-16.127642754458392,Flow-Filtered (Improved)
Hedge Slippage / Carry (bps),1.1421974240825987,Flow-Filtered (Improved)
Fill Rate (% of quotes),68.6766016309111,Flow-Filtered (Improved)
Inventory Breaches (#),863850.0,Flow-Filtered (Improved)
Worst Day PnL,1305.3249525000008,Flow-Filtered (Improved)
Max Drawdown,-29271.943992495537,Flow-Filtered (Improved)
Hit Ratio,0.9577507173107127,Flow-Filtered (Improved)
